Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,6/1/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,36015.07046,,,,,
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,895.5991488,945.6869299,940.476299,1039.408242,1095.655628,1245.059223,1283.040986,1525.517054,1629.16729,1712.58872,1934.285634,1941.610049,1942.48461,1925.165228,
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3106.554625,3076.256008,2836.129244,2115.395101,2165.01507,2366.284056,2603.074343,2778.743543,2918.451406,2972.321938,3036.559728,3131.995858,2858.897069,2961.964572,3256.653754,3838.264572,4614.590809,5613.232196,6298.01244,6284.274905,6360.84898,6524.481181,6758.27805,7096.786468,7327.37949,7386.700843,
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2721.627366,1992.082585,1902.294879,2147.584702,2389.957619,2781.42641,3109.197384,2837.364175,3208.971421,3690.680883,4026.537421,4463.614854,4754.656802,5114.775044,5524.947616,5942.858972,6634.754475,7289.605417,8228.328189,8823.861485,9646.582277,10209.20099,10526.86869,10578.78911,11307.54928,11479.08746,
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6497.875936,6385.381013,6749.267453,6987.866035,7176.833291,7308.406372,7630.252892,7963.284408,8336.286084,8581.392359,9013.781607,9239.633046,9316.699394,9617.04261,10590.97626,11332.14015,12201.45535,12912.43713,13663.84407,13705.45589,14197.18459,14577.1356,15294.65087,15736.27604,16114.99421,16451.50236,
United Arab Emirates,ARE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,74017.30065,73036.99661,73154.27774,71959.87787,74683.88859,77467.24484,79480.46748,83165.26315,80040.2167,79262.38645,84974.89409,83533.55522,82369.68502,85563.63642,87843.70811,84338.35941,82754.28198,75426.79351,69124.39621,59100.38054,56245.47816,57594.12668,61115.20946,64409.90828,67238.99526,69970.81534,
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6990.553832,8024.59187,9061.646126,9693.9687,10342.47654,10129.77663,10754.19812,11688.74771,12132.51441,11769.15447,11810.06105,11419.05094,10217.25341,11217.54382,12430.68741,13817.71301,15227.56639,16865.68021,17711.67381,16618.43286,18333.99467,19629.94701,19579.71113,20162.26512,19801.94511,20338.18906,
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2414.404926,2223.444263,1347.491008,1287.955107,1419.992742,1581.73379,1731.807416,1840.696008,2012.338894,2123.61324,2313.331946,2605.771618,3007.219393,3510.316808,3998.143137,4716.243273,5526.092806,6483.504649,7097.912173,6158.301452,6376.268217,6803.482997,7401.856398,7733.631944,8117.6085,8418.72779,
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11087.01747,11594.57506,11766.78311,12415.41251,13141.20213,12516.60041,13236.87073,13732.76683,14108.11207,14554.48083,15312.5665,14907.07263,15372.57819,16426.92431,17593.87624,19067.0683,22040.91366,24503.84487,24723.11189,21671.37575,20151.30987,19987.92414,20919.65501,20999.01692,22133.75502,23062.27827,
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,17347.49494,17803.04161,18207.97507,19157.96496,20087.94752,20979.9699,22048.77392,22992.94066,24216.73343,25268.51981,26374.71575,27399.17799,28685.30614,29691.53458,31312.79299,32559.45929,34324.97173,36565.51847,37479.28912,40256.05127,39169.55998,41763.11851,42596.29412,45574.63283,46298.68718,46270.79934,
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,19394.23375,20523.52157,21196.26616,21635.75071,22540.04335,23587.93849,24475.62123,25350.5991,26577.10663,27547.94554,29301.08698,29725.42733,31119.20999,31987.22057,33649.41335,34866.84044,37455.51021,39150.87728,41058.63054,40704.40971,41906.72959,44237.96032,46233.39624,47764.82312,48658.98009,49429.55555,
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5502.433989,5558.818413,4334.433664,3361.035497,2719.340227,2420.444864,2471.585879,2634.158631,2901.351672,3136.093893,3534.329148,3942.084882,4393.967199,4945.907916,5551.448842,7169.150431,9830.162606,12477.38469,13799.78614,14900.50866,15627.60562,15754.15236,16180.88715,17171.76137,17607.62289,17779.77376,
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,678.1205632,717.0176242,723.7173334,680.303455,655.7380116,606.0243611,559.2600749,552.2035397,576.4927641,569.6248028,565.3579325,574.8682608,591.4940159,576.4781864,599.8560986,603.2655406,632.6474358,656.8677489,679.0614557,683.4686854,693.4700034,712.6704834,730.0335656,750.5944031,773.7030294,727.1507895,
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,18757.80522,19664.24307,20337.67768,20540.88224,21588.34118,22516.96209,22892.21911,23910.8592,24539.0481,25642.26165,27966.9388,29024.90796,30482.77357,31054.64356,32260.7729,33332.35275,35406.6228,36858.19332,38133.51223,38047.67727,40129.42633,41248.6927,42354.62056,43489.4127,44746.81838,45757.45781,
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,941.0716488,978.0410579,992.4465664,1036.023937,1041.32595,1089.854787,1122.000574,1171.559489,1196.354532,1242.716676,1305.034602,1361.728492,1400.049756,1428.792779,1483.357743,1507.891161,1565.55691,1651.808665,1714.280209,1716.207268,1723.796926,1761.574331,1829.728888,1940.416105,2045.971787,2056.700772,
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,545.7264573,598.7897672,597.554203,616.0273814,620.2610807,651.262764,716.1156031,753.110961,794.327675,841.5331905,852.3890672,903.3388294,930.0914004,993.5058329,1035.724288,1127.559147,1198.075128,1241.943039,1299.217851,1307.256177,1392.189049,1470.435184,1547.649372,1614.378644,1660.46464,1696.025601,
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,834.0482083,871.0798766,918.4548687,963.3034791,1000.283763,1050.6545,1094.567693,1138.934299,1185.987717,1235.147515,1304.442358,1375.759114,1424.312233,1495.529221,1591.404389,1724.427708,1871.000135,2031.778522,2171.629728,2273.164201,2401.71874,2579.335048,2764.781928,2942.373187,3138.242457,3339.589283,
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5187.776323,4956.59198,4751.653266,4831.082005,5040.681014,5316.620822,5624.807482,5684.708788,6007.198195,5751.461263,6370.557933,6954.18805,7766.236807,8379.256378,9177.379026,10275.0206,11377.80991,12897.90523,14395.63042,14133.06695,14962.93405,15676.12098,16208.32431,16646.78483,17406.09846,18248.77994,
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,22694.40443,25381.54799,27003.10359,30449.58968,30259.59539,31274.43351,32232.23672,32781.47504,33588.47981,34300.76886,35503.03417,35715.01777,35995.44761,37073.10316,38411.80057,39449.62243,39896.16925,40648.96993,40514.04278,39025.53933,39105.31571,39311.32516,40669.7045,43053.41076,45310.95885,46586.0687,
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15693.37862,15253.25583,14721.34013,14837.44668,15361.95338,16120.83741,16888.93198,17338.20097,18157.7265,19515.95658,20486.83736,21131.6689,21606.43716,21304.66135,21619.39465,22602.88621,23417.23436,23928.02132,23397.81577,22196.81949,22431.13764,22665.16756,23432.40085,23469.61666,23441.10216,23001.00715,
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,938.3752658,1190.901326,2332.647027,3214.88954,3760.183254,4174.83975,4494.598108,4706.5643,5070.586021,5295.303712,5774.640574,6365.866291,7270.559159,8018.746485,8822.598879,8793.374005,9042.106226,9523.106752,9691.695739,10202.76161,10472.71749,10851.71863,
